Year,Team,OPS,OBP
1951,New York Giants,0.765,0.347
1951,New York Yankees,0.757,0.349
1951,Boston Red Sox,0.75,0.358
1951,Philadelphia Athletics,0.735,0.349
1951,Chicago White Sox,0.733,0.348
1951,Boston Braves,0.73,0.336
1951,Pittsburgh Pirates,0.728,0.331
1951,Cleveland Indians,0.725,0.336
1951,St. Louis Cardinals,0.721,0.339
1951,Detroit Tigers,0.717,0.337
1951,Philadelphia Phillies,0.701,0.326
1951,Washington Senators,0.691,0.336
1951,Chicago Cubs,0.679,0.315
1951,St. Louis Browns,0.674,0.317
1951,Cincinnati Reds,0.655,0.304
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1952,Brooklyn Dodgers,0.747,0.348
1952,Cleveland Indians,0.746,0.342
1952,New York Yankees,0.744,0.341
1952,St. Louis Cardinals,0.731,0.34
1952,New York Giants,0.728,0.329
1952,Philadelphia Phillies,0.708,0.332
1952,Boston Red Sox,0.705,0.328
1952,Chicago Cubs,0.704,0.321
1952,Philadelphia Athletics,0.702,0.343
1952,Cincinnati Reds,0.68,0.314
1952,St. Louis Browns,0.678,0.322
1952,Chicago White Sox,0.675,0.327
1952,Detroit Tigers,0.67,0.318
1952,Boston Braves,0.644,0.301
1952,Washington Senators,0.643,0.317
1952,Pittsburgh Pirates,0.631,0.3
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1953,Brooklyn Dodgers,0.84,0.366
1953,New York Yankees,0.775,0.358
1953,St. Louis Cardinals,0.771,0.347
1953,Cleveland Indians,0.759,0.349
1953,New York Giants,0.758,0.336
1953,Milwaukee Braves,0.74,0.325
1953,Philadelphia Phillies,0.731,0.335
1953,Cincinnati Reds,0.728,0.325
1953,Chicago Cubs,0.727,0.328
1953,Detroit Tigers,0.718,0.331
1953,Boston Red Sox,0.716,0.332
1953,Washington Senators,0.711,0.343
1953,Chicago White Sox,0.705,0.341
1953,Philadelphia Athletics,0.693,0.321
1953,St. Louis Browns,0.68,0.317
1953,Pittsburgh Pirates,0.675,0.319
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1954,Brooklyn Dodgers,0.793,0.349
1954,St. Louis Cardinals,0.771,0.35
1954,New York Giants,0.756,0.332
1954,New York Yankees,0.756,0.348
1954,Cleveland Indians,0.744,0.341
1954,Boston Red Sox,0.74,0.345
1954,Cincinnati Redlegs,0.739,0.333
1954,Chicago Cubs,0.737,0.325
1954,Philadelphia Phillies,0.736,0.341
1954,Milwaukee Braves,0.728,0.327
1954,Chicago White Sox,0.726,0.347
1954,Detroit Tigers,0.689,0.322
1954,Washington Senators,0.68,0.325
1954,Pittsburgh Pirates,0.673,0.323
1954,Baltimore Orioles,0.651,0.313
1954,Philadelphia Athletics,0.647,0.305
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
1955,Kansas City Athletics,0.703,0.321
1955,Washington Senators,0.673,0.322
1955,Pittsburgh Pirates,0.669,0.308
1955,Baltimore Orioles,0.634,0.314
1955,Brooklyn Dodgers,0.804,0.356
1955,Cincinnati Redlegs,0.766,0.341
1955,New York Yankees,0.758,0.34
1955,Boston Red Sox,0.753,0.351
1955,Milwaukee Braves,0.753,0.326
1955,Cleveland Indians,0.743,0.349
1955,Detroit Tigers,0.738,0.344
1955,Philadelphia Phillies,0.735,0.34
1955,Chicago White Sox,0.732,0.344
1955,New York Giants,0.727,0.325
1955,St. Louis Cardinals,0.721,0.321
1955,Chicago Cubs,0.703,0.305
